movieId,title,genres,imdbId,tmdbId
1,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,114709,862.0
2,Jumanji,Adventure|Children|Fantasy,113497,8844.0
3,Grumpier Old Men,Comedy|Romance,113228,15602.0
4,Waiting to Exhale,Comedy|Drama|Romance,114885,31357.0
5,Father of the Bride Part II,Comedy,113041,11862.0
6,Heat,Action|Crime|Thriller,113277,949.0
7,Sabrina,Comedy|Romance,114319,11860.0
8,Tom and Huck,Adventure|Children,112302,45325.0
9,Sudden Death,Action,114576,9091.0
10,GoldenEye,Action|Adventure|Thriller,113189,710.0
11,"American President, The",Comedy|Drama|Romance,112346,9087.0
12,Dracula: Dead and Loving It,Comedy|Horror,112896,12110.0
13,Balto,Adventure|Animation|Children,112453,21032.0
14,Nixon,Drama,113987,10858.0
15,Cutthroat Island,Action|Adventure|Romance,112760,1408.0
16,Casino,Crime|Drama,112641,524.0
17,Sense and Sensibility,Drama|Romance,114388,4584.0
18,Four Rooms,Comedy,113101,5.0
19,Ace Ventura: When Nature Calls,Comedy,112281,9273.0
20,Money Train,Action|Comedy|Crime|Drama|Thriller,113845,11517.0
21,Get Shorty,Comedy|Crime|Thriller,113161,8012.0
22,Copycat,Crime|Drama|Horror|Mystery|Thriller,112722,1710.0
23,Assassins,Action|Crime|Thriller,112401,9691.0
24,Powder,Drama|Sci-Fi,114168,12665.0
25,Leaving Las Vegas,Drama|Romance,113627,451.0
26,Othello,Drama,114057,16420.0
27,Now and Then,Children|Drama,114011,9263.0
28,Persuasion,Drama|Romance,114117,17015.0
29,"City of Lost Children, The (Cité des enfants perdus, La)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,112682,902.0
30,Shanghai Triad (Yao a yao yao dao waipo qiao),Crime|Drama,115012,37557.0
31,Dangerous Minds,Drama,112792,9909.0
32,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery|Sci-Fi|Thriller,114746,63.0
33,Wings of Courage,Adventure|Romance|IMAX,114952,78802.0
34,Babe,Children|Drama,112431,9598.0
35,Carrington,Drama|Romance,112637,47018.0
36,Dead Man Walking,Crime|Drama,112818,687.0
37,Across the Sea of Time,Documentary|IMAX,112286,139405.0
38,It Takes Two,Children|Comedy,113442,33689.0
39,Clueless,Comedy|Romance,112697,9603.0
40,"Cry, the Beloved Country",Drama,112749,34615.0
41,Richard III,Drama|War,114279,31174.0
42,Dead Presidents,Action|Crime|Drama,112819,11443.0
43,Restoration,Drama,114272,35196.0
44,Mortal Kombat,Action|Adventure|Fantasy,113855,9312.0
